 iteration      100/  200000 | consumed samples:         3200 | elapsed time per iteration (ms): 471.2 | learning rate: 4.495E-05 | global batch size:    32 | lm loss: 1.785777E-02 | loss scale: 4194304.0 | grad norm: 0.008 | number of skipped iterations:  11 | number of nan iterations:   0 |
 iteration     1800/  200000 | consumed samples:        57600 | elapsed time per iteration (ms): 354.7 | learning rate: 9.855E-05 | global batch size:    32 | lm loss: 1.421634E-04 | loss scale: 8388608.0 | grad norm: 0.001 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     1900/  200000 | consumed samples:        60800 | elapsed time per iteration (ms): 394.3 | learning rate: 9.846E-05 | global batch size:    32 | lm loss: 1.430189E-04 | loss scale: 8388608.0 | grad norm: 0.001 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     2000/  200000 | consumed samples:        64000 | elapsed time per iteration (ms): 364.3 | learning rate: 9.837E-05 | global batch size:    32 | lm loss: 1.551724E-04 | loss scale: 8388608.0 | grad norm: 0.011 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     2100/  200000 | consumed samples:        67200 | elapsed time per iteration (ms): 357.3 | learning rate: 9.828E-05 | global batch size:    32 | lm loss: 1.783969E-04 | loss scale: 16777216.0 | grad norm: 0.002 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     2200/  200000 | consumed samples:        70400 | elapsed time per iteration (ms): 351.9 | learning rate: 9.819E-05 | global batch size:    32 | lm loss: 1.501196E-04 | loss scale: 16777216.0 | grad norm: 0.002 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     2300/  200000 | consumed samples:        73600 | elapsed time per iteration (ms): 367.0 | learning rate: 9.810E-05 | global batch size:    32 | lm loss: 1.484642E-04 | loss scale: 16777216.0 | grad norm: 0.004 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     2400/  200000 | consumed samples:        76800 | elapsed time per iteration (ms): 359.6 | learning rate: 9.800E-05 | global batch size:    32 | lm loss: 1.582061E-04 | loss scale: 16777216.0 | grad norm: 0.001 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     2500/  200000 | consumed samples:        80000 | elapsed time per iteration (ms): 360.0 | learning rate: 9.791E-05 | global batch size:    32 | lm loss: 1.426181E-04 | loss scale: 16777216.0 | grad norm: 0.001 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     2600/  200000 | consumed samples:        83200 | elapsed time per iteration (ms): 337.9 | learning rate: 9.782E-05 | global batch size:    32 | lm loss: 1.473197E-04 | loss scale: 16777216.0 | grad norm: 0.001 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     2700/  200000 | consumed samples:        86400 | elapsed time per iteration (ms): 361.1 | learning rate: 9.773E-05 | global batch size:    32 | lm loss: 1.694522E-04 | loss scale: 16777216.0 | grad norm: 0.003 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     2800/  200000 | consumed samples:        89600 | elapsed time per iteration (ms): 363.3 | learning rate: 9.764E-05 | global batch size:    32 | lm loss: 1.390667E-04 | loss scale: 16777216.0 | grad norm: 0.001 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     2900/  200000 | consumed samples:        92800 | elapsed time per iteration (ms): 372.3 | learning rate: 9.755E-05 | global batch size:    32 | lm loss: 1.456508E-04 | loss scale: 16777216.0 | grad norm: 0.001 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     3000/  200000 | consumed samples:        96000 | elapsed time per iteration (ms): 349.1 | learning rate: 9.746E-05 | global batch size:    32 | lm loss: 1.494469E-04 | loss scale: 16777216.0 | grad norm: 0.005 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     3100/  200000 | consumed samples:        99200 | elapsed time per iteration (ms): 370.5 | learning rate: 9.737E-05 | global batch size:    32 | lm loss: 1.471059E-04 | loss scale: 33554432.0 | grad norm: 0.001 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     3200/  200000 | consumed samples:       102400 | elapsed time per iteration (ms): 362.5 | learning rate: 9.728E-05 | global batch size:    32 | lm loss: 1.578767E-04 | loss scale: 33554432.0 | grad norm: 0.001 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     3300/  200000 | consumed samples:       105600 | elapsed time per iteration (ms): 347.9 | learning rate: 9.718E-05 | global batch size:    32 | lm loss: 1.517658E-04 | loss scale: 33554432.0 | grad norm: 0.004 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     3400/  200000 | consumed samples:       108800 | elapsed time per iteration (ms): 365.7 | learning rate: 9.709E-05 | global batch size:    32 | lm loss: 1.474658E-04 | loss scale: 33554432.0 | grad norm: 0.006 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     3500/  200000 | consumed samples:       112000 | elapsed time per iteration (ms): 350.9 | learning rate: 9.700E-05 | global batch size:    32 | lm loss: 2.651518E-04 | loss scale: 33554432.0 | grad norm: 0.002 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     3600/  200000 | consumed samples:       115200 | elapsed time per iteration (ms): 355.5 | learning rate: 9.691E-05 | global batch size:    32 | lm loss: 1.385148E-04 | loss scale: 33554432.0 | grad norm: 0.001 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     3700/  200000 | consumed samples:       118400 | elapsed time per iteration (ms): 366.3 | learning rate: 9.682E-05 | global batch size:    32 | lm loss: 1.450157E-04 | loss scale: 33554432.0 | grad norm: 0.001 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     3800/  200000 | consumed samples:       121600 | elapsed time per iteration (ms): 334.0 | learning rate: 9.673E-05 | global batch size:    32 | lm loss: 1.410868E-04 | loss scale: 33554432.0 | grad norm: 0.002 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     3900/  200000 | consumed samples:       124800 | elapsed time per iteration (ms): 323.3 | learning rate: 9.664E-05 | global batch size:    32 | lm loss: 1.482366E-04 | loss scale: 33554432.0 | grad norm: 0.001 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     4000/  200000 | consumed samples:       128000 | elapsed time per iteration (ms): 378.8 | learning rate: 9.655E-05 | global batch size:    32 | lm loss: 1.458315E-04 | loss scale: 33554432.0 | grad norm: 0.001 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     4100/  200000 | consumed samples:       131200 | elapsed time per iteration (ms): 361.9 | learning rate: 9.646E-05 | global batch size:    32 | lm loss: 1.466726E-04 | loss scale: 67108864.0 | grad norm: 0.001 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     4200/  200000 | consumed samples:       134400 | elapsed time per iteration (ms): 337.0 | learning rate: 9.636E-05 | global batch size:    32 | lm loss: 1.518127E-04 | loss scale: 67108864.0 | grad norm: 0.003 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     4300/  200000 | consumed samples:       137600 | elapsed time per iteration (ms): 318.1 | learning rate: 9.627E-05 | global batch size:    32 | lm loss: 1.590502E-04 | loss scale: 67108864.0 | grad norm: 0.001 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     4400/  200000 | consumed samples:       140800 | elapsed time per iteration (ms): 348.2 | learning rate: 9.618E-05 | global batch size:    32 | lm loss: 1.446270E-04 | loss scale: 67108864.0 | grad norm: 0.002 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     4500/  200000 | consumed samples:       144000 | elapsed time per iteration (ms): 382.4 | learning rate: 9.609E-05 | global batch size:    32 | lm loss: 1.437636E-04 | loss scale: 67108864.0 | grad norm: 0.002 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     4600/  200000 | consumed samples:       147200 | elapsed time per iteration (ms): 340.8 | learning rate: 9.600E-05 | global batch size:    32 | lm loss: 1.517650E-04 | loss scale: 67108864.0 | grad norm: 0.002 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     4700/  200000 | consumed samples:       150400 | elapsed time per iteration (ms): 328.5 | learning rate: 9.591E-05 | global batch size:    32 | lm loss: 1.499808E-04 | loss scale: 67108864.0 | grad norm: 0.002 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     4800/  200000 | consumed samples:       153600 | elapsed time per iteration (ms): 316.5 | learning rate: 9.582E-05 | global batch size:    32 | lm loss: 1.489916E-04 | loss scale: 67108864.0 | grad norm: 0.003 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     4900/  200000 | consumed samples:       156800 | elapsed time per iteration (ms): 364.2 | learning rate: 9.573E-05 | global batch size:    32 | lm loss: 1.569792E-04 | loss scale: 67108864.0 | grad norm: 0.002 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     5000/  200000 | consumed samples:       160000 | elapsed time per iteration (ms): 352.7 | learning rate: 9.564E-05 | global batch size:    32 | lm loss: 1.414610E-04 | loss scale: 67108864.0 | grad norm: 0.001 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     5100/  200000 | consumed samples:       163200 | elapsed time per iteration (ms): 484.5 | learning rate: 9.554E-05 | global batch size:    32 | lm loss: 1.606898E-04 | loss scale: 134217728.0 | grad norm: 0.004 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     5200/  200000 | consumed samples:       166400 | elapsed time per iteration (ms): 427.0 | learning rate: 9.545E-05 | global batch size:    32 | lm loss: 1.790081E-04 | loss scale: 134217728.0 | grad norm: 0.003 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     5300/  200000 | consumed samples:       169600 | elapsed time per iteration (ms): 345.1 | learning rate: 9.536E-05 | global batch size:    32 | lm loss: 1.422717E-04 | loss scale: 134217728.0 | grad norm: 0.002 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     5400/  200000 | consumed samples:       172800 | elapsed time per iteration (ms): 378.4 | learning rate: 9.527E-05 | global batch size:    32 | lm loss: 1.392293E-04 | loss scale: 134217728.0 | grad norm: 0.003 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     5500/  200000 | consumed samples:       176000 | elapsed time per iteration (ms): 332.1 | learning rate: 9.518E-05 | global batch size:    32 | lm loss: 1.607780E-04 | loss scale: 134217728.0 | grad norm: 0.005 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     5600/  200000 | consumed samples:       179200 | elapsed time per iteration (ms): 388.9 | learning rate: 9.509E-05 | global batch size:    32 | lm loss: 1.811069E-04 | loss scale: 134217728.0 | grad norm: 0.002 | number of skipped iterations:   1 | number of nan iterations:   0 |
 iteration     5700/  200000 | consumed samples:       182400 | elapsed time per iteration (ms): 345.3 | learning rate: 9.500E-05 | global batch size:    32 | lm loss: 2.423832E-04 | loss scale: 67108864.0 | grad norm: 0.002 | number of skipped iterations:   1 | number of nan iterations:   0 |
 iteration     5800/  200000 | consumed samples:       185600 | elapsed time per iteration (ms): 369.4 | learning rate: 9.491E-05 | global batch size:    32 | lm loss: 1.403700E-04 | loss scale: 67108864.0 | grad norm: 0.001 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     5900/  200000 | consumed samples:       188800 | elapsed time per iteration (ms): 353.2 | learning rate: 9.482E-05 | global batch size:    32 | lm loss: 1.391089E-04 | loss scale: 67108864.0 | grad norm: 0.001 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     6000/  200000 | consumed samples:       192000 | elapsed time per iteration (ms): 350.2 | learning rate: 9.473E-05 | global batch size:    32 | lm loss: 1.380361E-04 | loss scale: 67108864.0 | grad norm: 0.003 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     6100/  200000 | consumed samples:       195200 | elapsed time per iteration (ms): 372.5 | learning rate: 9.464E-05 | global batch size:    32 | lm loss: 1.463094E-04 | loss scale: 67108864.0 | grad norm: 0.002 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     6200/  200000 | consumed samples:       198400 | elapsed time per iteration (ms): 405.8 | learning rate: 9.454E-05 | global batch size:    32 | lm loss: 1.407300E-04 | loss scale: 67108864.0 | grad norm: 0.005 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     6300/  200000 | consumed samples:       201600 | elapsed time per iteration (ms): 374.9 | learning rate: 9.445E-05 | global batch size:    32 | lm loss: 1.380310E-04 | loss scale: 67108864.0 | grad norm: 0.012 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     6400/  200000 | consumed samples:       204800 | elapsed time per iteration (ms): 374.9 | learning rate: 9.436E-05 | global batch size:    32 | lm loss: 1.367994E-04 | loss scale: 67108864.0 | grad norm: 0.004 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     6500/  200000 | consumed samples:       208000 | elapsed time per iteration (ms): 348.4 | learning rate: 9.427E-05 | global batch size:    32 | lm loss: 1.119710E-04 | loss scale: 67108864.0 | grad norm: 0.003 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     6600/  200000 | consumed samples:       211200 | elapsed time per iteration (ms): 358.7 | learning rate: 9.418E-05 | global batch size:    32 | lm loss: 1.115227E-04 | loss scale: 67108864.0 | grad norm: 0.003 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     6700/  200000 | consumed samples:       214400 | elapsed time per iteration (ms): 372.5 | learning rate: 9.409E-05 | global batch size:    32 | lm loss: 1.017765E-04 | loss scale: 134217728.0 | grad norm: 0.004 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     6800/  200000 | consumed samples:       217600 | elapsed time per iteration (ms): 366.2 | learning rate: 9.400E-05 | global batch size:    32 | lm loss: 7.605180E-05 | loss scale: 134217728.0 | grad norm: 0.001 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     6900/  200000 | consumed samples:       220800 | elapsed time per iteration (ms): 337.9 | learning rate: 9.391E-05 | global batch size:    32 | lm loss: 7.229105E-05 | loss scale: 134217728.0 | grad norm: 0.002 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     7000/  200000 | consumed samples:       224000 | elapsed time per iteration (ms): 368.1 | learning rate: 9.382E-05 | global batch size:    32 | lm loss: 6.322125E-05 | loss scale: 134217728.0 | grad norm: 0.001 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     7100/  200000 | consumed samples:       227200 | elapsed time per iteration (ms): 369.0 | learning rate: 9.372E-05 | global batch size:    32 | lm loss: 6.847236E-05 | loss scale: 134217728.0 | grad norm: 0.002 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     7200/  200000 | consumed samples:       230400 | elapsed time per iteration (ms): 409.6 | learning rate: 9.363E-05 | global batch size:    32 | lm loss: 5.247702E-05 | loss scale: 134217728.0 | grad norm: 0.001 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     7300/  200000 | consumed samples:       233600 | elapsed time per iteration (ms): 359.7 | learning rate: 9.354E-05 | global batch size:    32 | lm loss: 4.936167E-05 | loss scale: 134217728.0 | grad norm: 0.002 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     7400/  200000 | consumed samples:       236800 | elapsed time per iteration (ms): 366.1 | learning rate: 9.345E-05 | global batch size:    32 | lm loss: 5.066157E-05 | loss scale: 134217728.0 | grad norm: 0.001 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     7500/  200000 | consumed samples:       240000 | elapsed time per iteration (ms): 344.2 | learning rate: 9.336E-05 | global batch size:    32 | lm loss: 4.187353E-05 | loss scale: 134217728.0 | grad norm: 0.002 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     7600/  200000 | consumed samples:       243200 | elapsed time per iteration (ms): 389.9 | learning rate: 9.327E-05 | global batch size:    32 | lm loss: 4.442580E-05 | loss scale: 134217728.0 | grad norm: 0.002 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     7700/  200000 | consumed samples:       246400 | elapsed time per iteration (ms): 342.5 | learning rate: 9.318E-05 | global batch size:    32 | lm loss: 1.883012E-04 | loss scale: 33554432.0 | grad norm: 0.003 | number of skipped iterations:   4 | number of nan iterations:   0 |
 iteration     7800/  200000 | consumed samples:       249600 | elapsed time per iteration (ms): 374.6 | learning rate: 9.309E-05 | global batch size:    32 | lm loss: 1.558632E-04 | loss scale: 33554432.0 | grad norm: 0.002 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     7900/  200000 | consumed samples:       252800 | elapsed time per iteration (ms): 347.0 | learning rate: 9.300E-05 | global batch size:    32 | lm loss: 1.549112E-04 | loss scale: 33554432.0 | grad norm: 0.001 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8000/  200000 | consumed samples:       256000 | elapsed time per iteration (ms): 411.7 | learning rate: 9.291E-05 | global batch size:    32 | lm loss: 1.522842E-04 | loss scale: 33554432.0 | grad norm: 0.002 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8100/  200000 | consumed samples:       259200 | elapsed time per iteration (ms): 360.5 | learning rate: 9.282E-05 | global batch size:    32 | lm loss: 1.523363E-04 | loss scale: 33554432.0 | grad norm: 0.002 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8200/  200000 | consumed samples:       262400 | elapsed time per iteration (ms): 479.0 | learning rate: 9.273E-05 | global batch size:    32 | lm loss: 1.504215E-04 | loss scale: 33554432.0 | grad norm: 0.001 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8300/  200000 | consumed samples:       265600 | elapsed time per iteration (ms): 341.5 | learning rate: 9.264E-05 | global batch size:    32 | lm loss: 1.558436E-04 | loss scale: 33554432.0 | grad norm: 0.003 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8400/  200000 | consumed samples:       268800 | elapsed time per iteration (ms): 375.7 | learning rate: 9.254E-05 | global batch size:    32 | lm loss: 1.510089E-04 | loss scale: 33554432.0 | grad norm: 0.001 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8500/  200000 | consumed samples:       272000 | elapsed time per iteration (ms): 360.0 | learning rate: 9.245E-05 | global batch size:    32 | lm loss: 1.499004E-04 | loss scale: 33554432.0 | grad norm: 0.001 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8600/  200000 | consumed samples:       275200 | elapsed time per iteration (ms): 387.3 | learning rate: 9.236E-05 | global batch size:    32 | lm loss: 1.520099E-04 | loss scale: 33554432.0 | grad norm: 0.003 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8700/  200000 | consumed samples:       278400 | elapsed time per iteration (ms): 336.9 | learning rate: 9.227E-05 | global batch size:    32 | lm loss: 1.465916E-04 | loss scale: 67108864.0 | grad norm: 0.001 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8800/  200000 | consumed samples:       281600 | elapsed time per iteration (ms): 368.1 | learning rate: 9.218E-05 | global batch size:    32 | lm loss: 1.464727E-04 | loss scale: 67108864.0 | grad norm: 0.002 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8900/  200000 | consumed samples:       284800 | elapsed time per iteration (ms): 319.2 | learning rate: 9.209E-05 | global batch size:    32 | lm loss: 1.533123E-04 | loss scale: 67108864.0 | grad norm: 0.003 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     9000/  200000 | consumed samples:       288000 | elapsed time per iteration (ms): 323.2 | learning rate: 9.200E-05 | global batch size:    32 | lm loss: 1.460841E-04 | loss scale: 67108864.0 | grad norm: 0.002 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     9100/  200000 | consumed samples:       291200 | elapsed time per iteration (ms): 360.2 | learning rate: 9.191E-05 | global batch size:    32 | lm loss: 1.519922E-04 | loss scale: 67108864.0 | grad norm: 0.002 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     9200/  200000 | consumed samples:       294400 | elapsed time per iteration (ms): 351.6 | learning rate: 9.182E-05 | global batch size:    32 | lm loss: 1.455082E-04 | loss scale: 67108864.0 | grad norm: 0.002 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     9300/  200000 | consumed samples:       297600 | elapsed time per iteration (ms): 379.7 | learning rate: 9.172E-05 | global batch size:    32 | lm loss: 1.428193E-04 | loss scale: 67108864.0 | grad norm: 0.001 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     9400/  200000 | consumed samples:       300800 | elapsed time per iteration (ms): 367.7 | learning rate: 9.163E-05 | global batch size:    32 | lm loss: 1.545772E-04 | loss scale: 67108864.0 | grad norm: 0.004 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     9500/  200000 | consumed samples:       304000 | elapsed time per iteration (ms): 381.7 | learning rate: 9.154E-05 | global batch size:    32 | lm loss: 1.528613E-04 | loss scale: 67108864.0 | grad norm: 0.002 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     9600/  200000 | consumed samples:       307200 | elapsed time per iteration (ms): 360.6 | learning rate: 9.145E-05 | global batch size:    32 | lm loss: 1.506445E-04 | loss scale: 67108864.0 | grad norm: 0.002 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     9700/  200000 | consumed samples:       310400 | elapsed time per iteration (ms): 358.7 | learning rate: 9.136E-05 | global batch size:    32 | lm loss: 1.554951E-04 | loss scale: 134217728.0 | grad norm: 0.001 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     9800/  200000 | consumed samples:       313600 | elapsed time per iteration (ms): 347.3 | learning rate: 9.127E-05 | global batch size:    32 | lm loss: 1.436494E-04 | loss scale: 134217728.0 | grad norm: 0.001 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     9900/  200000 | consumed samples:       316800 | elapsed time per iteration (ms): 364.7 | learning rate: 9.118E-05 | global batch size:    32 | lm loss: 1.476407E-04 | loss scale: 134217728.0 | grad norm: 0.001 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration    10000/  200000 | consumed samples:       320000 | elapsed time per iteration (ms): 351.0 | learning rate: 9.109E-05 | global batch size:    32 | lm loss: 1.546068E-04 | loss scale: 134217728.0 | grad norm: 0.001 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration    10100/  200000 | consumed samples:       323200 | elapsed time per iteration (ms): 364.2 | learning rate: 9.100E-05 | global batch size:    32 | lm loss: 1.488581E-04 | loss scale: 134217728.0 | grad norm: 0.002 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration    10200/  200000 | consumed samples:       326400 | elapsed time per iteration (ms): 328.0 | learning rate: 9.090E-05 | global batch size:    32 | lm loss: 1.511565E-04 | loss scale: 134217728.0 | grad norm: 0.002 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration    10300/  200000 | consumed samples:       329600 | elapsed time per iteration (ms): 347.6 | learning rate: 9.081E-05 | global batch size:    32 | lm loss: 1.441038E-04 | loss scale: 134217728.0 | grad norm: 0.001 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration    10400/  200000 | consumed samples:       332800 | elapsed time per iteration (ms): 337.1 | learning rate: 9.072E-05 | global batch size:    32 | lm loss: 1.553200E-04 | loss scale: 134217728.0 | grad norm: 0.001 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration    10500/  200000 | consumed samples:       336000 | elapsed time per iteration (ms): 321.9 | learning rate: 9.063E-05 | global batch size:    32 | lm loss: 1.447419E-04 | loss scale: 134217728.0 | grad norm: 0.003 | number of skipped iterations:   0 | number of nan iterations:   0 |
